date,Time.of.Issue,Form,Method,Issue,Zip
07/27/2016,6:08 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),35653
07/22/2016,6:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),90034
07/27/2016,7:35 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33442
07/27/2016,7:04 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),7621
09/06/2016,2:36 pm,Phone,Wired,Telemarketing (including do not call and spoofing),53901
09/08/2016,9:40 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),21230
07/27/2016,4:30 pm,Phone,Wired,Telemarketing (including do not call and spoofing),21403
07/27/2016,7:30 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),18104
07/27/2016,7:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),50325
07/27/2016,5:51 pm,Phone,Wired,Telemarketing (including do not call and spoofing),20882
07/27/2016,4:45 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,89506
07/27/2016,5:22 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),53172
07/26/2016,1:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),51106
07/27/2016,8:45 pm,Phone,Wired,Telemarketing (including do not call and spoofing),55109
07/07/2016,10:00 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),11561
07/27/2016,6:50 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),92660
07/27/2016,5:15 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),93527
07/27/2016,6:44 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),90706
07/26/2016,10:57 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),80303
07/27/2016,7:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),92264
07/27/2016,08:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),88310
07/26/2016,6:00 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),80303
07/27/2016,3:50 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),70445
07/27/2016,6:20 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95678
07/27/2016,7:13 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,90028
07/27/2016,8:32 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),82009
07/27/2016,7:43 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),95642
07/27/2016,11:58 am,Phone,Wired,Telemarketing (including do not call and spoofing),37377
07/27/2016,6:00 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,90007
09/08/2016,8:30 am,Phone,Wired,Telemarketing (including do not call and spoofing),16361
08/18/2016,9:05 am,Phone,Wired,Robocalls,21771
08/18/2016,9:16 am,Phone,Wired,Robocalls,1720
07/07/2016,8:02 am,Phone,Wired,Robocalls,92223
07/26/2016,01:54 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,94510
07/12/2016,07:55 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,94510
09/08/2016,9:52 AM,Phone,Wired,Robocalls,27896
09/08/2016,8:26 am,Phone,Internet (VOIP),Robocalls,10108
09/08/2016,9:23 am,Phone,Wireless (cell phone/other mobile device),Robocalls,48169
09/08/2016,9:34 AM,Phone,Wired,Telemarketing (including do not call and spoofing),16701
09/08/2016,6:30 am,Phone,Wireless (cell phone/other mobile device),Robocalls,83854
09/08/2016,8:30 am,Phone,Internet (VOIP),Robocalls,23234
09/08/2016,8:55 pm,Phone,Wired,Telemarketing (including do not call and spoofing),76245
09/08/2016,9:15 AM,Phone,Wired,Telemarketing (including do not call and spoofing),50263
09/08/2016,09:12 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),32504
09/08/2016,10:15 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),19103
09/08/2016,9:55 am,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),21702
09/08/2016,10:20 am,Phone,Wired,Telemarketing (including do not call and spoofing),6878
09/08/2016,9:15 am,Phone,Wired,Telemarketing (including do not call and spoofing),42457
09/08/2016,NA,Phone,Wireless (cell phone/other mobile device),Robocalls,27312
09/08/2016,10:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),28716
09/07/2016,4:00 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,3054
09/08/2016,10:22 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),8048
09/07/2016,7:02 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),10987
09/08/2016,10:04 am,Phone,Internet (VOIP),Robocalls,22936
09/07/2016,NA,Phone,Wired,Telemarketing (including do not call and spoofing),18428
09/08/2016,10:00 am,Phone,Wired,Telemarketing (including do not call and spoofing),45040
09/01/2016,9:20 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),10022
09/08/2016,10:39 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),10530
08/18/2016,9:33 am,Phone,Wired,Telemarketing (including do not call and spoofing),32608
08/17/2016,8:51 am,Phone,Wireless (cell phone/other mobile device),Robocalls,61073
07/01/2016,NA,Phone,Internet (VOIP),Robocalls,24017
07/27/2016,NA,Phone,Wired,Telemarketing (including do not call and spoofing),79912
08/18/2016,12:45 pm,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),89117
09/08/2016,09:48 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),46037
09/08/2016,7:20 pm,Phone,Wireless (cell phone/other mobile device),Robocalls,11804
09/07/2016,5:34 pm,Phone,Wired,Telemarketing (including do not call and spoofing),71303
09/08/2016,9:45 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),60130
09/08/2016,9:51 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),54487
09/08/2016,10:45 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),8753
09/08/2016,09:56 am,Phone,Wireless (cell phone/other mobile device),Robocalls,75773
09/08/2016,9:00 AM,Phone,Wired,Robocalls,14086
09/08/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),11518
09/08/2016,NA,Phone,Wired,Telemarketing (including do not call and spoofing),23023
09/04/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),32547
09/09/2016,10:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),44107
09/08/2016,10:05 a.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,75023
09/08/2016,10:10 am,Phone,Wired,Robocalls,33133
09/08/2016,11:13 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),19119
09/08/2016,9:59 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,75063
09/08/2016,10:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),67218
09/07/2016,9:08 AM,Phone,Wired,Robocalls,89103
08/24/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),27330
09/08/2016,10:23 am,Phone,Wired,Robocalls,76367
09/08/2016,8:41 a.m.,Phone,Internet (VOIP),Robocalls,79912
09/08/2016,11:19 am,Phone,Wireless (cell phone/other mobile device),Robocalls,28209
09/08/2016,11:25 am,Phone,Wireless (cell phone/other mobile device),Robocalls,30507
09/08/2016,9:30 am,Phone,Wireless (cell phone/other mobile device),Robocalls,81504
09/08/2016,8:33 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),44333
09/08/2016,8:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),79936
09/08/2016,1:33 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),37221
09/08/2016,10:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),78580
08/18/2016,01:50 pm,Phone,Wired,Telemarketing (including do not call and spoofing),91335
08/18/2016,1:30 pm,Phone,Wired,Telemarketing (including do not call and spoofing),20850
09/08/2016,11:30 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),13905
09/08/2016,10:16 am,Phone,Internet (VOIP),Robocalls,48382
09/08/2016,11:34 am,Phone,Wireless (cell phone/other mobile device),Robocalls,19046
09/08/2016,11:36 am,Phone,Wireless (cell phone/other mobile device),Robocalls,30082
09/07/2016,12:17 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),24060
09/08/2016,8:36 am,Phone,Wired,Robocalls,98177
08/15/2016,6:22 p.m.,Phone,Wired,Robocalls,48183
07/28/2016,10:30 am,Phone,Wired,Robocalls,21122
